Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4gVZhkcsZcwQ4mU1gEeXEO,"Don't Forget About Me","XIII","CLOVES",2015-11-20,268853,61,false,,2023-06-09T23:10:27Z,"","Universal Music Australia Pty. Ltd.",0.494,0.243,5,-9.083,0,0.0316,0.822,0.00225,0.147,0.0722,126.063,4
spotify:track:1oFYibU1RzB4OKE5iI3SyR,"Call My Bluff","It's Almost Dry","Pusha T",2022-04-22,168401,49,true,,2023-06-09T23:10:27Z,"","Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ",0.681,0.672,6,-4.976,1,0.295,0.206,0,0.202,0.29,82.044,4
spotify:track:1dp8aQANyTRKssDeAYPiZe,"Scrape It Off (feat. Lil Uzi Vert & Don Toliver)","It's Almost Dry","Pusha T,Lil Uzi Vert,Don Toliver",2022-04-22,152612,57,true,,2023-06-09T23:10:27Z,"melodic rap","Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ",0.594,0.679,7,-3.702,1,0.345,0.484,0.00000783,0.114,0.66,106.726,5
spotify:track:6zeE5tKyr8Nu882DQhhSQI,"Dust in the Wind","Point Of Know Return (Expanded Edition)","Kansas",1977,206266,82,false,,2023-06-09T23:10:27Z,"classic rock,progressive rock,aor","Epic/Legacy",0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,4
spotify:track:12LQp8K8e4LDsh1dHazLvW,"Quarantine Dream","bed","Bathtub Cig",2021-04-22,200557,2,false,,2023-06-09T23:10:27Z,"","bathtub cig",0.386,0.204,0,-11.507,1,0.0313,0.955,0.536,0.115,0.119,118.219,4
spotify:track:3gWpowQ3g0FjC6Sm9nhQFC,"My Friend","bed","Bathtub Cig,We are the Willows",2021-04-22,220513,7,false,,2023-06-09T23:10:27Z,"","bathtub cig",0.689,0.208,7,-15.944,1,0.0344,0.96,0.635,0.0933,0.194,96.052,4
spotify:track:5x2xql5xYWgQggdJPEk5yX,"bed","bed","Bathtub Cig",2021-04-22,266250,3,false,,2023-06-09T23:10:27Z,"","bathtub cig",0.25,0.126,7,-15.199,1,0.0334,0.973,0.332,0.106,0.117,75.688,4
spotify:track:3IpWAhlsg2mc68RgfQWqbg,"Parade","Parade","Seabear",2022-02-11,178880,2,false,,2023-06-09T23:10:27Z,"indie folk","Morr Music",0.503,0.513,2,-10.178,1,0.0259,0.0777,0.00388,0.344,0.443,155.036,4
spotify:track:6DD4ibUSg5HXgW0SqWEmTE,"Nostalgia Will Kill You","Golden Doubt","Quivers",2021-06-11,217920,2,false,,2023-06-09T23:10:27Z,"jangle pop","Ba Da Bing!",0.434,0.444,0,-7.193,1,0.029,0.0507,0.000819,0.114,0.255,101.876,3
spotify:track:5JCoSi02qi3jJeHdZXMmR8,"favorite crime","SOUR","Olivia Rodrigo",2021-05-21,152666,85,false,,2023-06-09T23:10:27Z,"","Olivia Rodrigo PS",0.369,0.272,9,-10.497,1,0.0364,0.866,0,0.147,0.218,172.929,4
spotify:track:0YAQnYt2oB8OdoaeqnHyTI,"Tribe (with J. Cole)","Milky Way","Bas,J. Cole",2018-08-24,238053,66,true,,2023-06-09T23:10:27Z,"rap","J. Cole/ DreamVille",0.755,0.594,7,-5.906,1,0.216,0.241,0,0.107,0.237,178.929,4
spotify:track:6ypfqRdhGKVM2rloD5oXmU,"Barack Obama Special","Milky Way","Bas",2018-08-24,187720,37,true,,2023-06-09T23:10:27Z,"","J. Cole/ DreamVille",0.736,0.484,7,-8.576,1,0.437,0.142,0,0.429,0.214,103.5,4
spotify:track:3OORhRpIhCk21HaJwMAp5t,"Purge","Milky Way","Bas",2018-08-24,186613,49,true,,2023-06-09T23:10:27Z,"","J. Cole/ DreamVille",0.908,0.535,7,-8.509,0,0.292,0.632,0,0.214,0.271,115.016,4
spotify:track:3tML0isKJJ3DJUQKcm3L0e,"The Man Who Sees Tomorrow","The Man Who Sees Tomorrow / Lodarore","Uwade",2021-04-16,211733,36,false,,2023-06-09T23:10:27Z,"","1447980 Records DK",0.257,0.213,11,-11.787,1,0.0364,0.77,0,0.363,0.209,55.309,3
spotify:track:0hHOIVyywNzkoh1v6RWFb3,"Back To The Radio","Waterslide Diving Board Ladder To The Sky","Porridge Radio",2022-05-20,187586,35,false,,2023-06-09T23:10:27Z,"lo-fi indie","Secretly Canadian",0.447,0.531,8,-5.281,1,0.0299,0.845,0.000477,0.13,0.248,119.762,3
spotify:track:7AmqcEOtGbqSRbPYbjQKUh,"U Can Be Happy If U Want To","Waterslide Diving Board Ladder To The Sky","Porridge Radio",2022-05-20,309813,21,false,,2023-06-09T23:10:27Z,"lo-fi indie","Secretly Canadian",0.405,0.606,9,-4.947,1,0.0335,0.443,0.728,0.268,0.248,110.711,4
spotify:track:083NnqRae4Vo0Ji0QCws0M,"Following A God Desire","When I Come Around - EP","Nap Eyes",2021-05-14,316001,2,false,,2023-06-09T23:10:27Z,"","Jagjaguwar",0.512,0.341,9,-11.982,1,0.0311,0.556,0.0563,0.0918,0.196,85.982,4
spotify:track:5h8bxWD8zPRFAia5ssm47f,"A Little Love","A Little Love","Jermiside,The Expert",2022-04-06,202516,1,false,,2023-06-09T23:10:27Z,"","Rucksack Records",0.655,0.856,0,-7.176,0,0.105,0.319,0,0.421,0.862,94.062,4
spotify:track:67qVRmg2JynkOZ5olduLAd,"NAILS","NAILS","Noga Erez",2022-05-25,171750,36,false,,2023-06-09T23:10:27Z,"","Atlantic Records/Neon Gold",0.824,0.591,10,-7.356,1,0.219,0.102,0.0000222,0.0686,0.749,79.821,4
spotify:track:1db0gbTSKdRQum8VlbNkiO,"Say Say Say - Remastered 2015","Pipes Of Peace","Paul McCartney,Michael Jackson",1983-10-28,235693,69,false,,2023-06-09T23:10:27Z,"","Paul McCartney Catalog",0.822,0.686,10,-10.456,0,0.0472,0.115,0.000982,0.0463,0.828,117.743,4
spotify:track:646sbFnyVg1trhqqxqFUJg,"Walkin","Walkin","Denzel Curry",2022-01-24,280004,51,true,,2023-06-09T23:10:27Z,"","Loma Vista Recordings",0.557,0.652,11,-7.219,0,0.145,0.134,0,0.292,0.433,135.999,4
spotify:track:2vMeyjJMA2cynaltOobg79,"Symptoms","Symptoms","Pinkston",2022-04-15,296211,0,false,,2023-06-09T23:10:27Z,"","Lofi",0.327,0.474,11,-8.166,1,0.0347,0.752,0.00000276,0.212,0.151,123.58,4
spotify:track:1NxZp8uYShqpkxcyaaLUKs,"Punch Bowl (with Clipse & Nigo)","I Know NIGO!","Pusha T,Clipse,Nigo",2022-03-25,181970,43,true,,2023-06-09T23:10:27Z,"southern hip hop","Victor Victor Worldwide",0.749,0.626,10,-4.201,0,0.218,0.0508,0.000436,0.0432,0.219,86.756,4
spotify:track:1QL4QIasIJbmkrOy2weLoZ,"Slow","Vert(EGO)","Elton Aura",2022-03-04,164015,6,true,,2023-06-09T23:10:27Z,"","Auradynamics",0.741,0.718,8,-5.593,1,0.0495,0.0899,0.0000856,0.0732,0.614,108.016,4
spotify:track:2zFhK9bz7wPFFJb76flKxI,"Nervous At Night","Nervous At Night","Charlie Hickey",2022-05-20,254826,21,false,,2023-06-09T23:10:27Z,"","Dead Oceans",0.594,0.588,1,-6.757,1,0.0286,0.013,0.00000399,0.121,0.528,120.052,4
spotify:track:015ROS1oTBabLaOLMzDF47,"Hate Myself","Hate Myself","dodie",2021-01-12,208092,32,false,,2023-06-09T23:10:27Z,"","doddleoddle",0.755,0.53,8,-12.514,1,0.146,0.92,0.0334,0.15,0.903,103.985,4
